id,cbo,descricao,disponivel,user_id,created_at,updated_at
,212315,Administrador de sistemas operacionais,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,212320,Administrador em segurança da informação,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,212405,Analista de desenvolvimento de sistemas,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,212410,Analista de redes e de comunicação de dados,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,212415,Analista de sistemas de automação,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,212420,Analista de suporte computacional,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,212425,Arquiteto de soluções de tecnologia da informação,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,212430,Analista de testes de tecnologia da informação,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213105,Físico,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213110,Físico (acústica),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213115,Físico (atômica e molecular),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213120,Físico (cosmologia),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213125,Físico (estatística e matemática),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213130,Físico (fluidos),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213135,Físico (instrumentação),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213140,Físico (matéria condensada),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213145,Físico (materiais),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213150,Físico (medicina),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213155,Físico (nuclear e reatores),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213160,Físico (óptica),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213165,Físico (partículas e campos),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213170,Físico (plasma),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213175,Físico (térmica),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213205,Químico,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213210,Químico industrial,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213215,Tecnólogo em processos químicos,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213305,Astrônomo,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213310,Geofísico espacial,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213315,Meteorologista,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213405,Geólogo,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213410,Geólogo de engenharia,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213415,Geofísico,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213420,Geoquímico,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213425,Hidrogeólogo,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213430,Paleontólogo,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213435,Petrógrafo,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,213440,Oceanógrafo,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,214005,Engenheiro ambiental,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,214010,Tecnólogo em meio ambiente,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,214105,Arquiteto de edificações,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,214110,Arquiteto de interiores,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,214115,Arquiteto de patrimônio,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,214120,Arquiteto paisagista,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,214125,Arquiteto urbanista,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,214130,Urbanista,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,214205,Engenheiro civil,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,214210,Engenheiro civil (aeroportos),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,214215,Engenheiro civil (edificações),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,214220,Engenheiro civil (estruturas metálicas),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,214225,Engenheiro civil (ferrovias e metrovias),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,214230,Engenheiro civil (geotécnia),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,214235,Engenheiro civil (hidrologia),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,214240,Engenheiro civil (hidráulica),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
